country,code,national_class,tier_a_code,tier_a_class,tier_b_code,tier_b_class,tier_b_note,tier_c_code,tier_c_class,tier_c_lossy,tier_c_note
argentina,3,Closed forests,1,Forest formation,3,Forest,,3,Forest Formation,no,
argentina,4,Open forests,1,Forest formation,4,Open / dry forest or savanna formation,,4,Savanna Formation,no,
argentina,6,Flooded forests,1,Forest formation,6,Flooded forest,,6,Floodable Forest,no,
argentina,9,Forest plantations,14,Farming,9,Forest plantation,,9,Forest Plantation,no,
argentina,11,Flooded grasslands,10,Non-forest natural formation,11,Wetland / flooded herbaceous,,11,Wetland,no,
argentina,12,Grasslands,10,Non-forest natural formation,12,Grassland / herbaceous,,12,Grassland,no,
argentina,15,Pastures,14,Farming,15,Pasture,,15,Pasture,no,
argentina,19,Temporary crops,14,Farming,19,Temporary crop,,19,Temporary Crop,no,
argentina,21,Agriculture and pasture mosaic,14,Farming,21,Mosaic of uses,,21,Mosaic of Uses,no,
argentina,24,Urban areas,22,Non-vegetated area,24,Urban / infrastructure,,24,Urban Area,no,
argentina,25,Other non-vegetated areas,22,Non-vegetated area,25,Other non-vegetated area,,25,Other non Vegetated Areas,no,
argentina,27,Not observed,27,Not observed,27,Not observed,,27,Not Observed,no,
argentina,33,"Rivers, lakes or ocean",26,Water body,33,"River, lake or ocean",,33,"River, Lake and Ocean",no,
argentina,34,Ice and permanent snow,26,Water body,34,"Glacier, ice and permanent snow",,33,"River, Lake and Ocean",yes,"Brazil Collection 10 has no glacier class. Folded into 33 River, Lake and Ocean because every national legend files glacier under level-1 26 Water body; folding to 25 instead would move the pixels to level-1 22 Non-vegetated."
argentina,36,Perennial crops,14,Farming,36,Perennial crop,,36,Perennial Crop,no,
argentina,63,Shrubs and herbaceous mosaic,10,Non-forest natural formation,66,Shrubland,"Argentina's 63 is a shrub-and-herbaceous mosaic; Chile's 63 is Steppe. Merged into 66 Shrubland for Argentina to avoid the collision, and 63 is reserved for Chile's Steppe.",12,Grassland,yes,"Argentina's 63 is a shrub-and-herbaceous mosaic; Chile's 63 is Steppe. Merged into 66 Shrubland for Argentina to avoid the collision, and 63 is reserved for Chile's Steppe. No shrubland class in Brazil. Folded into 12 Grassland rather than 4 Savanna Formation: 4 sits under level-1 1 Forest, so mapping shrubland there would reclassify it as forest and inflate forest area across Chile, Argentina, Peru, Bolivia and Venezuela."
argentina,66,Closed shrublands,10,Non-forest natural formation,66,Shrubland,,12,Grassland,yes,"No shrubland class in Brazil. Folded into 12 Grassland rather than 4 Savanna Formation: 4 sits under level-1 1 Forest, so mapping shrubland there would reclassify it as forest and inflate forest area across Chile, Argentina, Peru, Bolivia and Venezuela."
argentina,73,Peatlands,10,Non-forest natural formation,73,Peatland,,11,Wetland,yes,No peatland class in Brazil. Folded into 11 Wetland; level-1 parent (10) is preserved.
argentina,77,Open shrublands,10,Non-forest natural formation,66,Shrubland,"Argentina splits shrubland into 66 closed and 77 open. Only 66 exists in the other national legends, so 77 is merged into it.",12,Grassland,yes,"Argentina splits shrubland into 66 closed and 77 open. Only 66 exists in the other national legends, so 77 is merged into it. No shrubland class in Brazil. Folded into 12 Grassland rather than 4 Savanna Formation: 4 sits under level-1 1 Forest, so mapping shrubland there would reclassify it as forest and inflate forest area across Chile, Argentina, Peru, Bolivia and Venezuela."
bolivia,3,Forest,1,Forest formation,3,Forest,,3,Forest Formation,no,
bolivia,4,Open forest,1,Forest formation,4,Open / dry forest or savanna formation,,4,Savanna Formation,no,
bolivia,6,Flooded forest,1,Forest formation,6,Flooded forest,,6,Floodable Forest,no,
bolivia,11,Flooded grassland/shrubland,10,Non-forest natural formation,11,Wetland / flooded herbaceous,,11,Wetland,no,
bolivia,12,Grassland/shrubland,10,Non-forest natural formation,12,Grassland / herbaceous,,12,Grassland,no,
bolivia,13,Other non-forest natural formation,10,Non-forest natural formation,13,Other non-forest natural formation,,12,Grassland,yes,"Brazil Collection 10 dropped 'Other non-forest natural formation'. Folded into 12 Grassland, which shares its level-1 parent (10)."
bolivia,15,Pasture,14,Farming,15,Pasture,,15,Pasture,no,
bolivia,18,Agriculture,14,Farming,18,Agriculture,,18,Agriculture,no,
bolivia,21,Mosaic of uses,14,Farming,21,Mosaic of uses,,21,Mosaic of Uses,no,
bolivia,23,"Beach, dune and sand spot",22,Non-vegetated area,23,"Beach, dune and sand spot",,23,"Beach, Dune and Sand Spot",no,
bolivia,24,Urban infrastructure,22,Non-vegetated area,24,Urban / infrastructure,,24,Urban Area,no,
bolivia,25,Other non-vegetated anthropic area,22,Non-vegetated area,25,Other non-vegetated area,,25,Other non Vegetated Areas,no,
bolivia,27,Not observed,27,Not observed,27,Not observed,,27,Not Observed,no,
bolivia,29,Rocky outcrop,10,Non-forest natural formation,29,Rocky outcrop,,29,Rocky Outcrop,no,
bolivia,30,Mining,22,Non-vegetated area,30,Mining,,30,Mining,no,
bolivia,31,Aquaculture,26,Water body,31,Aquaculture,,31,Aquaculture,no,
bolivia,33,"River, lake",26,Water body,33,"River, lake or ocean",,33,"River, Lake and Ocean",no,
bolivia,34,Glacier,26,Water body,34,"Glacier, ice and permanent snow",,33,"River, Lake and Ocean",yes,"Brazil Collection 10 has no glacier class. Folded into 33 River, Lake and Ocean because every national legend files glacier under level-1 26 Water body; folding to 25 instead would move the pixels to level-1 22 Non-vegetated."
bolivia,39,Soybean (beta),14,Farming,39,Soybean,,39,Soybean,no,
bolivia,61,Salt flat,22,Non-vegetated area,61,Salt flat (salar),,25,Other non Vegetated Areas,yes,No salt flat class in Brazil. Folded into 25 Other non Vegetated Areas; level-1 parent (22) is preserved.
bolivia,66,Scrublands,10,Non-forest natural formation,66,Shrubland,,12,Grassland,yes,"No shrubland class in Brazil. Folded into 12 Grassland rather than 4 Savanna Formation: 4 sits under level-1 1 Forest, so mapping shrubland there would reclassify it as forest and inflate forest area across Chile, Argentina, Peru, Bolivia and Venezuela."
